modifier	dmod_score	polarity_score
rather	0.11032	0.9971
probably	0.27052	0.9946
fairly	0.18896	0.9946
relatively	0.13367	0.9956
somewhat	0.11932	0.9954
hardly	0.14155	0.8072
sometimes	0.29846	0.9886
generally	0.1786	0.9591
rarely	0.23432	0.8769
slightly	0.15753	0.9883
comparatively	0.13905	0.9978
moderately	0.23424	0.9969
mildly	0.11598	0.9898
partly	0.09535	0.9505
perhaps	0.18678	0.9135
possibly	0.25656	0.7888
very	0.45123	0.7506
quite	0.32641	0.8624
definitely	0.4881	0.9633
pretty	0.42755	0.9454
truly	0.51746	0.8104
surely	0.49865	0.9109
deeply	0.45577	0.9454
kinda	0.43264	0.9004
practically	0.4675	0.9788
genuinely	0.32211	0.8633
profoundly	0.47046	0.9625
greatly	0.37808	0.6831
consistently	0.33628	0.7342
decidedly	0.32612	0.9919
solid	0.43467	0.7012
incredibly	0.58703	0.9428
absolutely	0.5982	0.905
beyond	0.66474	0.7353
utterly	0.56912	0.9162
painfully	0.58294	0.7026
positively	0.62107	0.8738
mighty	0.61375	0.791
seriously	0.66167	0.7795
desperately	0.60158	0.8197
dangerously	0.68713	0.9167
intensely	0.55739	0.9646
filthy	0.69497	0.972
wicked	0.69861	0.9194
ultra	0.67474	0.9727
fiercely	0.6819	0.9672
hot	0.68721	0.8519
blazing	0.63528	0.7944
steaming	0.66219	0.8782
pitch	0.67153	0.7222
glowing	0.6322	0.7935
significantly	0.19587	0.4537
really	0.47679	0.4938
completely	0.50024	0.3928
especially	0.4754	0.4918
simply	0.44331	0.6492
perfectly	0.38199	0.574
nearly	0.46234	0.5763
fully	0.35896	0.4251
barely	0.34416	0.6492
inherently	0.47075	0.4851
normally	0.33932	0.4615
full	0.42131	0.5289
permanently	0.44721	0.4831
totally	0.551	0.3348
fucking	0.70965	0.5338
bloody	0.56202	0.5915
damn	0.62822	0.5671
super	0.56486	0.3995
freaking	0.72607	0.4473
awful	0.6358	0.5434
crazy	0.72046	0.5898
goddamn	0.73358	0.3698
horribly	0.60082	0.6078
absolute	0.62515	0.627
burning	0.72057	0.4667
flipping	0.67079	0.5311
perfect	0.60123	0.6447
boiling	0.75094	0.462
violently	0.60011	0.6378
merely	0.31754	0.2379
altogether	0.27914	0.0304
always	0.45281	0.294
all	0.5375	0.3107
real	0.50528	0.2675
particularly	0.41368	0.0974
exactly	0.40076	0.0007
overly	0.35646	0.0125
wholly	0.38632	0.1281
easily	0.37194	0.0713
precisely	0.35814	0.0429
half	0.4589	0.0829
over	0.51126	0.0378
too	0.63636	0.1798
so	0.77682	0.1365
that	0.6999	0.0
this	0.68143	0.0107
smoking	0.67063	0.3202
